nm,n,k,
2857.142857,1.467079,8.53E-07,
2857.551079,1.467075,8.57E-07,
2857.959417,1.46707,8.61E-07,
2858.367872,1.467065,8.65E-07,
2858.776444,1.467061,8.68E-07,
2859.185132,1.467056,8.72E-07,
2859.593938,1.467051,8.76E-07,
2860.00286,1.467047,8.80E-07,
2860.411899,1.467042,8.84E-07,
2860.821056,1.467037,8.88E-07,
2861.230329,1.467033,8.92E-07,
2861.63972,1.467028,8.95E-07,
2862.049227,1.467023,8.99E-07,
2862.458852,1.467019,9.03E-07,
2862.868594,1.467014,9.07E-07,
2863.278454,1.467009,9.11E-07,
2863.688431,1.467004,9.15E-07,
2864.098525,1.467,9.19E-07,
2864.508737,1.466995,9.23E-07,
2864.919066,1.46699,9.27E-07,
2865.329513,1.466985,9.31E-07,
2865.740077,1.466981,9.35E-07,
2866.15076,1.466976,9.40E-07,
2866.561559,1.466971,9.44E-07,
2866.972477,1.466966,9.48E-07,
2867.383513,1.466962,9.52E-07,
2867.794666,1.466957,9.56E-07,
2868.205937,1.466952,9.60E-07,
2868.617326,1.466947,9.64E-07,
2869.028834,1.466943,9.69E-07,
2869.440459,1.466938,9.73E-07,
2869.852203,1.466933,9.77E-07,
2870.264064,1.466928,9.81E-07,
2870.676044,1.466923,9.86E-07,
2871.088142,1.466919,9.90E-07,
2871.500359,1.466914,9.94E-07,
2871.912694,1.466909,9.99E-07,
2872.325147,1.466904,1.00E-06,
2872.737719,1.466899,1.01E-06,
2873.150409,1.466895,1.01E-06,
2873.563218,1.46689,1.02E-06,
2873.976146,1.466885,1.02E-06,
2874.389192,1.46688,1.03E-06,
2874.802357,1.466875,1.03E-06,
2875.215641,1.46687,1.03E-06,
2875.629044,1.466865,1.04E-06,
2876.042565,1.466861,1.04E-06,
2876.456206,1.466856,1.05E-06,
2876.869965,1.466851,1.05E-06,
2877.283844,1.466846,1.06E-06,
2877.697842,1.466841,1.06E-06,
2878.111959,1.466836,1.07E-06,
2878.526195,1.466831,1.07E-06,
2878.94055,1.466826,1.07E-06,
2879.355024,1.466821,1.08E-06,
2879.769618,1.466816,1.08E-06,
2880.184332,1.466812,1.09E-06,
2880.599165,1.466807,1.09E-06,
2881.014117,1.466802,1.10E-06,
2881.429189,1.466797,1.10E-06,
2881.84438,1.466792,1.11E-06,
2882.259692,1.466787,1.11E-06,
2882.675123,1.466782,1.12E-06,
2883.090673,1.466777,1.12E-06,
2883.506344,1.466772,1.13E-06,
2883.922134,1.466767,1.13E-06,
2884.338044,1.466762,1.14E-06,
2884.754075,1.466757,1.14E-06,
2885.170225,1.466752,1.15E-06,
2885.586495,1.466747,1.15E-06,
2886.002886,1.466742,1.16E-06,
2886.419397,1.466737,1.16E-06,
2886.836028,1.466732,1.17E-06,
2887.252779,1.466727,1.17E-06,
2887.669651,1.466722,1.18E-06,
2888.086643,1.466717,1.18E-06,
2888.503755,1.466712,1.19E-06,
2888.920988,1.466707,1.19E-06,
2889.338342,1.466702,1.20E-06,
2889.755816,1.466697,1.20E-06,
2890.17341,1.466692,1.21E-06,
2890.591126,1.466687,1.21E-06,
2891.008962,1.466682,1.22E-06,
2891.426919,1.466676,1.22E-06,
2891.844997,1.466671,1.23E-06,
2892.263196,1.466666,1.23E-06,
2892.681516,1.466661,1.24E-06,
2893.099957,1.466656,1.24E-06,
2893.518519,1.466651,1.25E-06,
2893.937202,1.466646,1.26E-06,
2894.356006,1.466641,1.26E-06,
2894.774931,1.466636,1.27E-06,
2895.193978,1.46663,1.27E-06,
2895.613146,1.466625,1.28E-06,
2896.032436,1.46662,1.28E-06,
2896.451846,1.466615,1.29E-06,
2896.871379,1.46661,1.29E-06,
2897.291033,1.466605,1.30E-06,
2897.710808,1.4666,1.30E-06,
2898.130706,1.466594,1.31E-06,
2898.550725,1.466589,1.32E-06,
2898.970865,1.466584,0.000001321,
2899.391128,1.466579,1.33E-06,
2899.811512,1.466574,1.33E-06,
2900.232019,1.466568,1.34E-06,
2900.652647,1.466563,1.34E-06,
2901.073397,1.466558,1.35E-06,
2901.49427,1.466553,1.36E-06,
2901.915264,1.466547,1.36E-06,
2902.336381,1.466542,1.37E-06,
2902.75762,1.466537,1.37E-06,
2903.178981,1.466532,1.38E-06,
2903.600465,1.466526,1.38E-06,
2904.022071,1.466521,1.39E-06,
2904.443799,1.466516,1.40E-06,
2904.86565,1.466511,1.40E-06,
2905.287623,1.466505,1.41E-06,
2905.70972,1.4665,1.41E-06,
2906.131938,1.466495,1.42E-06,
2906.55428,1.466489,1.43E-06,
2906.976744,1.466484,1.43E-06,
2907.399331,1.466479,1.44E-06,
2907.822041,1.466474,1.44E-06,
2908.244874,1.466468,1.45E-06,
2908.66783,1.466463,1.46E-06,
2909.090909,1.466458,1.46E-06,
2909.514111,1.466452,1.47E-06,
2909.937436,1.466447,1.48E-06,
2910.360885,1.466441,1.48E-06,
2910.784456,1.466436,1.49E-06,
2911.208151,1.466431,1.49E-06,
2911.63197,1.466425,1.50E-06,
2912.055911,1.46642,1.51E-06,
2912.479977,1.466414,1.51E-06,
2912.904165,1.466409,1.52E-06,
2913.328478,1.466404,1.53E-06,
2913.752914,1.466398,1.53E-06,
2914.177473,1.466393,1.54E-06,
2914.602157,1.466387,1.55E-06,
2915.026964,1.466382,1.55E-06,
2915.451895,1.466377,1.56E-06,
2915.87695,1.466371,1.56E-06,
2916.302129,1.466366,1.57E-06,
2916.727432,1.46636,1.58E-06,
2917.152859,1.466355,1.58E-06,
2917.57841,1.466349,1.59E-06,
2918.004085,1.466344,1.60E-06,
2918.429885,1.466338,1.60E-06,
2918.855809,1.466333,1.61E-06,
2919.281857,1.466327,1.62E-06,
2919.708029,1.466322,1.63E-06,
2920.134326,1.466316,1.63E-06,
2920.560748,1.466311,1.64E-06,
2920.987294,1.466305,1.65E-06,
2921.413964,1.466299,1.65E-06,
2921.84076,1.466294,1.66E-06,
2922.26768,1.466288,1.67E-06,
2922.694725,1.466283,1.67E-06,
2923.121894,1.466277,1.68E-06,
2923.549189,1.466272,1.69E-06,
2923.976608,1.466266,1.69E-06,
2924.404153,1.46626,1.70E-06,
2924.831822,1.466255,1.71E-06,
2925.259617,1.466249,1.72E-06,
2925.687537,1.466244,1.72E-06,
2926.115582,1.466238,1.73E-06,
2926.543752,1.466232,1.74E-06,
2926.972047,1.466227,1.75E-06,
2927.400468,1.466221,1.75E-06,
2927.829015,1.466215,1.76E-06,
2928.257687,1.46621,1.77E-06,
2928.686484,1.466204,1.77E-06,
2929.115407,1.466198,1.78E-06,
2929.544456,1.466193,1.79E-06,
2929.97363,1.466187,0.000001797,
2930.40293,1.466181,1.80E-06,
2930.832356,1.466175,1.81E-06,
2931.261908,1.46617,1.82E-06,
2931.691586,1.466164,1.83E-06,
2932.12139,1.466158,1.83E-06,
2932.55132,1.466153,1.84E-06,
2932.981376,1.466147,1.85E-06,
2933.411558,1.466141,1.86E-06,
2933.841866,1.466135,1.87E-06,
2934.2723,1.466129,1.87E-06,
2934.702861,1.466124,1.88E-06,
2935.133549,1.466118,1.89E-06,
2935.564362,1.466112,1.90E-06,
2935.995302,1.466106,1.90E-06,
2936.426369,1.4661,1.91E-06,
2936.857562,1.466095,1.92E-06,
2937.288882,1.466089,1.93E-06,
2937.720329,1.466083,1.94E-06,
2938.151902,1.466077,1.94E-06,
2938.583603,1.466071,1.95E-06,
2939.01543,1.466065,1.96E-06,
2939.447384,1.466059,1.97E-06,
2939.879465,1.466054,1.98E-06,
2940.311673,1.466048,1.99E-06,
2940.744008,1.466042,1.99E-06,
2941.176471,1.466036,2.00E-06,
2941.60906,1.46603,2.01E-06,
2942.041777,1.466024,2.02E-06,
2942.474621,1.466018,2.03E-06,
2942.907593,1.466012,2.04E-06,
2943.340692,1.466006,2.04E-06,
2943.773918,1.466,2.05E-06,
2944.207272,1.465994,2.06E-06,
2944.640754,1.465988,2.07E-06,
2945.074363,1.465982,2.08E-06,
2945.5081,1.465976,2.09E-06,
2945.941965,1.46597,2.09E-06,
2946.375958,1.465964,2.10E-06,
2946.810078,1.465958,2.11E-06,
2947.244327,1.465952,2.12E-06,
2947.678703,1.465946,2.13E-06,
2948.113208,1.46594,2.14E-06,
2948.54784,1.465934,2.15E-06,
2948.982601,1.465928,2.16E-06,
2949.41749,1.465922,2.16E-06,
2949.852507,1.465916,2.17E-06,
2950.287653,1.46591,2.18E-06,
2950.722927,1.465904,2.19E-06,
2951.15833,1.465897,2.20E-06,
2951.593861,1.465891,2.21E-06,
2952.02952,1.465885,2.22E-06,
2952.465309,1.465879,2.23E-06,
2952.901225,1.465873,2.24E-06,
2953.337271,1.465867,2.25E-06,
2953.773446,1.465861,2.26E-06,
2954.209749,1.465854,2.26E-06,
2954.646181,1.465848,2.27E-06,
2955.082742,1.465842,2.28E-06,
2955.519433,1.465836,2.29E-06,
2955.956252,1.46583,2.30E-06,
2956.3932,1.465823,2.31E-06,
2956.830278,1.465817,2.32E-06,
2957.267485,1.465811,2.33E-06,
2957.704821,1.465805,2.34E-06,
2958.142287,1.465798,2.35E-06,
2958.579882,1.465792,2.36E-06,
2959.017606,1.465786,2.37E-06,
2959.45546,1.465779,2.38E-06,
2959.893444,1.465773,2.39E-06,
2960.331557,1.465767,2.40E-06,
2960.7698,1.465761,2.41E-06,
2961.208173,1.465754,2.42E-06,
2961.646676,1.465748,2.43E-06,
2962.085308,1.465741,2.44E-06,
2962.524071,1.465735,2.45E-06,
2962.962963,1.465729,2.46E-06,
2963.401985,1.465722,2.47E-06,
2963.841138,1.465716,2.48E-06,
2964.280421,1.46571,2.49E-06,
2964.719834,1.465703,2.50E-06,
2965.159377,1.465697,2.51E-06,
2965.599051,1.46569,2.52E-06,
2966.038855,1.465684,2.53E-06,
2966.47879,1.465677,2.54E-06,
2966.918855,1.465671,2.55E-06,
2967.35905,1.465664,2.56E-06,
2967.799377,1.465658,2.57E-06,
2968.239834,1.465651,2.58E-06,
2968.680422,1.465645,2.59E-06,
2969.12114,1.465638,2.60E-06,
2969.56199,1.465632,2.61E-06,
2970.00297,1.465625,2.62E-06,
2970.444081,1.465619,2.63E-06,
2970.885324,1.465612,2.64E-06,
2971.326697,1.465606,2.65E-06,
2971.768202,1.465599,2.67E-06,
2972.209838,1.465592,2.68E-06,
2972.651605,1.465586,2.69E-06,
2973.093504,1.465579,2.70E-06,
2973.535534,1.465573,2.71E-06,
2973.977695,1.465566,2.72E-06,
2974.419988,1.465559,2.73E-06,
2974.862413,1.465553,2.74E-06,
2975.304969,1.465546,2.75E-06,
2975.747657,1.465539,2.76E-06,
2976.190476,1.465533,2.77E-06,
2976.633428,1.465526,2.79E-06,
2977.076511,1.465519,2.80E-06,
2977.519726,1.465512,2.81E-06,
2977.963073,1.465506,2.82E-06,
2978.406552,1.465499,2.83E-06,
2978.850164,1.465492,2.84E-06,
2979.293907,1.465485,2.85E-06,
2979.737783,1.465479,2.87E-06,
2980.181791,1.465472,2.88E-06,
2980.625931,1.465465,2.89E-06,
2981.070204,1.465458,2.90E-06,
2981.514609,1.465451,2.91E-06,
2981.959147,1.465445,2.92E-06,
2982.403817,1.465438,2.94E-06,
2982.84862,1.465431,2.95E-06,
2983.293556,1.465424,2.96E-06,
2983.738624,1.465417,2.97E-06,
2984.183826,1.46541,2.98E-06,
2984.62916,1.465403,3.00E-06,
2985.074627,1.465396,3.01E-06,
2985.520227,1.465389,3.02E-06,
2985.96596,1.465382,3.03E-06,
2986.411826,1.465375,3.04E-06,
2986.857826,1.465368,3.06E-06,
2987.303958,1.465361,3.07E-06,
2987.750224,1.465354,3.08E-06,
2988.196623,1.465347,3.09E-06,
2988.643156,1.46534,3.10E-06,
2989.089822,1.465333,3.12E-06,
2989.536622,1.465326,3.13E-06,
2989.983555,1.465319,3.14E-06,
2990.430622,1.465312,3.15E-06,
2990.877823,1.465305,3.17E-06,
2991.325157,1.465298,3.18E-06,
2991.772625,1.465291,3.19E-06,
2992.220227,1.465284,3.21E-06,
2992.667963,1.465277,3.22E-06,
2993.115834,1.465269,3.23E-06,
2993.563838,1.465262,3.24E-06,
2994.011976,1.465255,3.26E-06,
2994.460249,1.465248,3.27E-06,
2994.908655,1.465241,3.28E-06,
2995.357196,1.465233,3.30E-06,
2995.805872,1.465226,3.31E-06,
2996.254682,1.465219,3.32E-06,
2996.703626,1.465212,3.34E-06,
2997.152705,1.465204,3.35E-06,
2997.601918,1.465197,3.36E-06,
2998.051267,1.46519,3.38E-06,
2998.50075,1.465183,3.39E-06,
2998.950367,1.465175,3.40E-06,
2999.40012,1.465168,3.42E-06,
2999.850007,1.465161,3.43E-06,
3000.30003,1.465153,3.44E-06,
3000.750188,1.465146,3.46E-06,
3001.20048,1.465138,3.47E-06,
3001.650908,1.465131,3.48E-06,
3002.101471,1.465124,3.50E-06,
3002.552169,1.465116,3.51E-06,
3003.003003,1.465109,3.53E-06,
3003.453972,1.465101,3.54E-06,
3003.905077,1.465094,3.55E-06,
3004.356317,1.465086,3.57E-06,
3004.807692,1.465079,3.58E-06,
3005.259204,1.465071,3.60E-06,
3005.710851,1.465064,3.61E-06,
3006.162633,1.465056,3.62E-06,
3006.614552,1.465049,3.64E-06,
3007.066607,1.465041,3.65E-06,
3007.518797,1.465033,3.67E-06,
3007.971123,1.465026,3.68E-06,
3008.423586,1.465018,3.70E-06,
3008.876185,1.46501,3.71E-06,
3009.32892,1.465003,3.73E-06,
3009.781791,1.464995,3.74E-06,
3010.234798,1.464987,3.76E-06,
3010.687942,1.46498,3.77E-06,
3011.141223,1.464972,3.79E-06,
3011.594639,1.464964,3.80E-06,
3012.048193,1.464957,3.81E-06,
3012.501883,1.464949,3.83E-06,
3012.95571,1.464941,3.84E-06,
3013.409673,1.464933,3.86E-06,
3013.863773,1.464925,3.88E-06,
3014.318011,1.464918,3.89E-06,
3014.772385,1.46491,3.91E-06,
3015.226896,1.464902,3.92E-06,
3015.681544,1.464894,3.94E-06,
3016.136329,1.464886,3.95E-06,
3016.591252,1.464878,3.97E-06,
3017.046312,1.46487,3.98E-06,
3017.501509,1.464862,4.00E-06,
3017.956843,1.464854,4.01E-06,
3018.412315,1.464846,4.03E-06,
3018.867925,1.464838,4.05E-06,
3019.323671,1.46483,4.06E-06,
3019.779556,1.464822,4.08E-06,
3020.235578,1.464814,4.09E-06,
3020.691738,1.464806,4.11E-06,
3021.148036,1.464798,4.13E-06,
3021.604472,1.46479,4.14E-06,
3022.061046,1.464782,4.16E-06,
3022.517757,1.464774,4.17E-06,
3022.974607,1.464766,4.19E-06,
3023.431595,1.464758,4.21E-06,
3023.888721,1.464749,4.22E-06,
3024.345985,1.464741,4.24E-06,
3024.803388,1.464733,4.26E-06,
3025.260929,1.464725,4.27E-06,
3025.718608,1.464716,4.29E-06,
3026.176426,1.464708,4.31E-06,
3026.634383,1.4647,4.32E-06,
3027.092478,1.464692,4.34E-06,
3027.550711,1.464683,4.36E-06,
3028.009084,1.464675,4.37E-06,
3028.467595,1.464667,4.39E-06,
3028.926246,1.464658,4.41E-06,
3029.385035,1.46465,4.42E-06,
3029.843963,1.464641,4.44E-06,
3030.30303,1.464633,4.46E-06,
3030.762237,1.464625,4.48E-06,
3031.221582,1.464616,4.49E-06,
3031.681067,1.464608,4.51E-06,
3032.140691,1.464599,4.53E-06,
3032.600455,1.464591,4.55E-06,
3033.060358,1.464582,4.56E-06,
3033.5204,1.464573,4.58E-06,
3033.980583,1.464565,4.60E-06,
3034.440904,1.464556,4.62E-06,
3034.901366,1.464548,4.64E-06,
3035.361967,1.464539,4.65E-06,
3035.822708,1.46453,4.67E-06,
3036.283589,1.464522,4.69E-06,
3036.74461,1.464513,4.71E-06,
3037.205771,1.464504,4.73E-06,
3037.667072,1.464496,4.74E-06,
3038.128513,1.464487,4.76E-06,
3038.590094,1.464478,4.78E-06,
3039.051816,1.464469,4.80E-06,
3039.513678,1.46446,4.82E-06,
3039.97568,1.464452,4.84E-06,
3040.437823,1.464443,4.86E-06,
3040.900106,1.464434,4.87E-06,
3041.36253,1.464425,4.89E-06,
3041.825095,1.464416,4.91E-06,
3042.2878,1.464407,4.93E-06,
3042.750647,1.464398,4.95E-06,
3043.213634,1.464389,4.97E-06,
3043.676762,1.46438,4.99E-06,
3044.14003,1.464371,5.01E-06,
3044.60344,1.464362,5.03E-06,
3045.066991,1.464353,5.05E-06,
3045.530684,1.464344,5.07E-06,
3045.994517,1.464335,5.08E-06,
3046.458492,1.464326,5.10E-06,
3046.922608,1.464317,5.12E-06,
3047.386866,1.464307,5.14E-06,
3047.851265,1.464298,5.16E-06,
3048.315806,1.464289,5.18E-06,
3048.780488,1.46428,5.20E-06,
3049.245312,1.46427,5.22E-06,
3049.710278,1.464261,5.24E-06,
3050.175385,1.464252,5.26E-06,
3050.640635,1.464243,5.28E-06,
3051.106026,1.464233,5.30E-06,
3051.571559,1.464224,5.32E-06,
3052.037235,1.464214,5.35E-06,
3052.503053,1.464205,5.37E-06,
3052.969012,1.464195,5.39E-06,
3053.435115,1.464186,5.41E-06,
3053.901359,1.464177,5.43E-06,
3054.367746,1.464167,5.45E-06,
3054.834275,1.464157,5.47E-06,
3055.300947,1.464148,5.49E-06,
3055.767762,1.464138,5.51E-06,
3056.234719,1.464129,5.53E-06,
3056.701819,1.464119,5.55E-06,
3057.169061,1.464109,5.58E-06,
3057.636447,1.4641,5.60E-06,
3058.103976,1.46409,5.62E-06,
3058.571647,1.46408,5.64E-06,
3059.039462,1.46407,5.66E-06,
3059.507419,1.464061,5.68E-06,
3059.97552,1.464051,5.71E-06,
3060.443764,1.464041,5.73E-06,
3060.912152,1.464031,5.75E-06,
3061.380683,1.464021,5.77E-06,
3061.849357,1.464011,5.79E-06,
3062.318175,1.464001,5.82E-06,
3062.787136,1.463991,5.84E-06,
3063.256241,1.463981,5.86E-06,
3063.72549,1.463971,5.88E-06,
3064.194883,1.463961,5.91E-06,
3064.664419,1.463951,5.93E-06,
3065.1341,1.463941,5.95E-06,
3065.603924,1.463931,5.98E-06,
3066.073892,1.463921,6.00E-06,
3066.544005,1.463911,6.02E-06,
3067.014262,1.4639,6.05E-06,
3067.484663,1.46389,6.07E-06,
3067.955208,1.46388,6.09E-06,
3068.425898,1.46387,6.12E-06,
3068.896732,1.463859,6.14E-06,
3069.36771,1.463849,6.16E-06,
3069.838833,1.463839,6.19E-06,
3070.310101,1.463828,6.21E-06,
3070.781514,1.463818,6.24E-06,
3071.253071,1.463807,6.26E-06,
3071.724773,1.463797,6.28E-06,
3072.196621,1.463786,6.31E-06,
3072.668613,1.463776,6.33E-06,
3073.14075,1.463765,6.36E-06,
3073.613032,1.463754,6.38E-06,
3074.08546,1.463744,6.41E-06,
3074.558032,1.463733,6.43E-06,
3075.03075,1.463722,6.46E-06,
3075.503614,1.463712,6.48E-06,
3075.976623,1.463701,6.51E-06,
3076.449777,1.46369,6.54E-06,
3076.923077,1.463679,6.56E-06,
3077.396523,1.463668,6.59E-06,
3077.870114,1.463657,6.61E-06,
3078.343851,1.463647,6.64E-06,
3078.817734,1.463636,6.67E-06,
3079.291763,1.463625,6.69E-06,
3079.765938,1.463614,6.72E-06,
3080.240259,1.463603,6.75E-06,
3080.714726,1.463591,6.77E-06,
3081.189339,1.46358,6.80E-06,
3081.664099,1.463569,6.83E-06,
3082.139004,1.463558,6.86E-06,
3082.614057,1.463547,6.88E-06,
3083.089255,1.463536,6.91E-06,
3083.564601,1.463524,6.94E-06,
3084.040093,1.463513,6.97E-06,
3084.515731,1.463502,7.00E-06,
3084.991516,1.46349,7.03E-06,
3085.467448,1.463479,7.05E-06,
3085.943527,1.463467,7.08E-06,
3086.419753,1.463456,7.11E-06,
3086.896126,1.463444,7.14E-06,
3087.372646,1.463433,7.17E-06,
3087.849313,1.463421,7.20E-06,
3088.326127,1.463409,7.23E-06,
3088.803089,1.463398,7.26E-06,
3089.280198,1.463386,7.30E-06,
3089.757454,1.463374,7.33E-06,
3090.234858,1.463363,7.36E-06,
3090.712409,1.463351,7.39E-06,
3091.190108,1.463339,7.42E-06,
3091.667955,1.463327,7.45E-06,
3092.145949,1.463315,7.49E-06,
3092.624092,1.463303,7.52E-06,
3093.102382,1.463291,7.55E-06,
3093.58082,1.463279,7.59E-06,
3094.059406,1.463267,7.62E-06,
3094.53814,1.463255,7.66E-06,
3095.017023,1.463243,7.69E-06,
3095.496053,1.46323,7.72E-06,
3095.975232,1.463218,7.76E-06,
3096.45456,1.463206,7.80E-06,
3096.934035,1.463193,7.83E-06,
3097.41366,1.463181,7.87E-06,
3097.893432,1.463169,7.91E-06,
3098.373354,1.463156,7.94E-06,
3098.853424,1.463144,7.98E-06,
3099.333643,1.463131,8.02E-06,
3099.814011,1.463119,8.06E-06,
3100.294528,1.463106,8.10E-06,
3100.775194,1.463093,8.14E-06,
3101.256009,1.463081,8.18E-06,
3101.736973,1.463068,8.22E-06,
3102.218086,1.463055,8.26E-06,
3102.699348,1.463042,8.30E-06,
3103.18076,1.463029,8.35E-06,
3103.662322,1.463016,8.39E-06,
3104.144032,1.463003,8.43E-06,
3104.625893,1.46299,8.48E-06,
3105.107902,1.462977,8.52E-06,
3105.590062,1.462964,8.57E-06,
3106.072371,1.462951,8.62E-06,
3106.554831,1.462938,8.67E-06,
3107.03744,1.462925,8.71E-06,
3107.520199,1.462911,8.76E-06,
3108.003108,1.462898,8.81E-06,
3108.486167,1.462885,8.86E-06,
3108.969377,1.462871,8.92E-06,
3109.452736,1.462858,8.97E-06,
3109.936246,1.462844,9.02E-06,
3110.419907,1.462831,9.08E-06,
3110.903718,1.462817,9.13E-06,
3111.387679,1.462803,9.19E-06,
3111.871791,1.462789,9.25E-06,
3112.356054,1.462776,9.31E-06,
3112.840467,1.462762,9.36E-06,
3113.325031,1.462748,9.43E-06,
3113.809746,1.462734,9.49E-06,
3114.294612,1.46272,9.55E-06,
3114.779629,1.462706,9.62E-06,
3115.264798,1.462692,9.68E-06,
3115.750117,1.462678,9.75E-06,
3116.235587,1.462663,9.82E-06,
3116.721209,1.462649,9.89E-06,
3117.206983,1.462635,9.96E-06,
3117.692907,1.462621,1.00E-05,
3118.178983,1.462606,1.01E-05,
3118.665211,1.462592,1.02E-05,
3119.151591,1.462577,1.03E-05,
3119.638122,1.462562,0.000010346,
3120.124805,1.462548,1.04E-05,
3120.61164,1.462533,1.05E-05,
3121.098627,1.462518,0.000010598,
3121.585766,1.462503,0.000010686,
3122.073057,1.462489,0.000010776,
3122.5605,1.462474,1.09E-05,
3123.048095,1.462459,1.10E-05,
3123.535843,1.462443,1.11E-05,
3124.023743,1.462428,1.12E-05,
3124.511795,1.462413,1.13E-05,
3125,1.462398,1.14E-05,
3125.488358,1.462383,1.15E-05,
3125.976868,1.462367,1.16E-05,
3126.465531,1.462352,1.17E-05,
3126.954346,1.462336,1.18E-05,
3127.443315,1.462321,1.19E-05,
3127.932437,1.462305,0.000012045,
3128.421711,1.462289,1.22E-05,
3128.911139,1.462273,0.000012296,
3129.40072,1.462258,1.24E-05,
3129.890454,1.462242,1.26E-05,
3130.380341,1.462226,1.27E-05,
3130.870382,1.46221,1.28E-05,
3131.360576,1.462194,1.30E-05,
3131.850924,1.462177,1.31E-05,
3132.341425,1.462161,1.33E-05,
3132.83208,1.462145,0.000013442,
3133.322889,1.462128,1.36E-05,
3133.813851,1.462112,1.38E-05,
3134.304968,1.462095,1.39E-05,
3134.796238,1.462079,1.41E-05,
3135.287663,1.462062,1.43E-05,
3135.779241,1.462045,0.000014477,
3136.270974,1.462028,1.47E-05,
3136.762861,1.462011,1.49E-05,
3137.254902,1.461994,1.51E-05,
3137.747098,1.461977,1.53E-05,
3138.239448,1.46196,1.55E-05,
3138.731952,1.461943,1.57E-05,
3139.224612,1.461926,1.59E-05,
3139.717425,1.461908,1.61E-05,
3140.210394,1.461891,1.64E-05,
3140.703518,1.461873,0.000016628,
3141.196796,1.461855,1.69E-05,
3141.690229,1.461838,1.71E-05,
3142.183818,1.46182,1.74E-05,
3142.677561,1.461802,1.77E-05,
3143.17146,1.461784,1.79E-05,
3143.665514,1.461766,1.82E-05,
3144.159723,1.461748,0.000018532,
3144.654088,1.46173,1.88E-05,
3145.148608,1.461711,1.91E-05,
3145.643284,1.461693,1.95E-05,
3146.138115,1.461674,1.98E-05,
3146.633103,1.461656,2.01E-05,
3147.128245,1.461637,0.00002049,
3147.623544,1.461618,2.08E-05,
3148.118999,1.461599,2.12E-05,
3148.61461,1.46158,2.16E-05,
3149.110376,1.461561,2.20E-05,
3149.606299,1.461542,2.24E-05,
3150.102378,1.461523,2.28E-05,
3150.598614,1.461503,2.32E-05,
3151.095006,1.461484,2.37E-05,
3151.591554,1.461464,2.41E-05,
3152.088258,1.461445,2.46E-05,
3152.58512,1.461425,0.000025064,
3153.082138,1.461405,2.56E-05,
3153.579313,1.461385,2.61E-05,
3154.076644,1.461365,2.66E-05,
3154.574132,1.461345,2.71E-05,
3155.071778,1.461325,2.77E-05,
3155.56958,1.461304,2.82E-05,
3156.06754,1.461284,2.88E-05,
3156.565657,1.461263,2.94E-05,
3157.063931,1.461242,3.00E-05,
3157.562362,1.461222,3.06E-05,
3158.060951,1.461201,3.13E-05,
3158.559697,1.46118,3.20E-05,
3159.058601,1.461158,3.26E-05,
3159.557662,1.461137,3.34E-05,
3160.056881,1.461116,3.41E-05,
3160.556258,1.461094,3.48E-05,
