nm,n,k
2857.142857,3.418487438,2.67E-06
2858.776444,3.418485264,2.67E-06
2860.411899,3.418483091,2.67E-06
2862.049227,3.418480919,2.67E-06
2863.688431,3.418478749,2.67E-06
2865.329513,3.41847658,2.67E-06
2866.972477,3.418474412,2.67E-06
2868.617326,3.418472246,2.67E-06
2870.264064,3.418470081,2.67E-06
2871.912694,3.418467917,2.67E-06
2873.563218,3.418465754,2.67E-06
2875.215641,3.418463593,2.67E-06
2876.869965,3.418461433,2.67E-06
2878.526195,3.418459274,2.67E-06
2880.184332,3.418457117,2.67E-06
2881.84438,3.41845496,2.67E-06
2883.506344,3.418452806,2.67E-06
2885.170225,3.418450652,2.67E-06
2886.836028,3.4184485,2.67E-06
2888.503755,3.418446349,2.67E-06
2890.17341,3.418444199,2.67E-06
2891.844997,3.418442051,2.67E-06
2893.518519,3.418439904,2.67E-06
2895.193978,3.418437758,2.67E-06
2896.871379,3.418435613,2.67E-06
2898.550725,3.41843347,2.67E-06
2900.232019,3.418431328,2.67E-06
2901.915264,3.418429188,2.67E-06
2903.600465,3.418427048,2.67E-06
2905.287623,3.41842491,2.67E-06
2906.976744,3.418422773,2.67E-06
2908.66783,3.418420638,2.67E-06
2910.360885,3.418418504,2.67E-06
2912.055911,3.418416371,2.67E-06
2913.752914,3.418414239,2.67E-06
2915.451895,3.418412109,2.67E-06
2917.152859,3.41840998,2.67E-06
2918.855809,3.418407852,2.67E-06
2920.560748,3.418405726,2.67E-06
2922.26768,3.4184036,2.67E-06
2923.976608,3.418401476,2.67E-06
2925.687537,3.418399354,2.67E-06
2927.400468,3.418397233,2.67E-06
2929.115407,3.418395113,2.67E-06
2930.832356,3.418392994,2.67E-06
2932.55132,3.418390876,2.67E-06
2934.2723,3.41838876,2.67E-06
2935.995302,3.418386645,2.67E-06
2937.720329,3.418384532,2.67E-06
2939.447384,3.418382419,2.67E-06
2941.176471,3.418380308,2.67E-06
2942.907593,3.418378199,2.67E-06
2944.640754,3.41837609,2.67E-06
2946.375958,3.418373983,2.67E-06
2948.113208,3.418371877,2.67E-06
2949.852507,3.418369773,2.67E-06
2951.593861,3.418367669,2.67E-06
2953.337271,3.418365567,2.67E-06
2955.082742,3.418363467,2.67E-06
2956.830278,3.418361367,2.67E-06
2958.579882,3.418359269,2.67E-06
2960.331557,3.418357172,2.67E-06
2962.085308,3.418355077,2.67E-06
2963.841138,3.418352982,2.67E-06
2965.599051,3.418350889,2.67E-06
2967.35905,3.418348798,2.67E-06
2969.12114,3.418346707,2.67E-06
2970.885324,3.418344618,2.67E-06
2972.651605,3.41834253,2.67E-06
2974.419988,3.418340444,2.67E-06
2976.190476,3.418338358,2.67E-06
2977.963073,3.418336274,2.67E-06
2979.737783,3.418334192,2.67E-06
2981.514609,3.41833211,2.67E-06
2983.293556,3.41833003,2.67E-06
2985.074627,3.418327951,2.67E-06
2986.857826,3.418325874,2.67E-06
2988.643156,3.418323797,2.67E-06
2990.430622,3.418321722,2.67E-06
2992.220227,3.418319649,2.67E-06
2994.011976,3.418317576,2.67E-06
2995.805872,3.418315505,2.67E-06
2997.601918,3.418313435,2.67E-06
2999.40012,3.418311367,2.67E-06
3001.20048,3.418309299,2.67E-06
3003.003003,3.418307233,2.67E-06
3004.807692,3.418305169,2.67E-06
3006.614552,3.418303105,2.67E-06
3008.423586,3.418301043,2.67E-06
3010.234798,3.418298982,2.67E-06
3012.048193,3.418296922,2.67E-06
3013.863773,3.418294864,2.67E-06
3015.681544,3.418292807,2.67E-06
3017.501509,3.418290751,2.67E-06
3019.323671,3.418288697,2.67E-06
3021.148036,3.418286644,2.67E-06
3022.974607,3.418284592,2.67E-06
3024.803388,3.418282541,2.67E-06
3026.634383,3.418280492,2.67E-06
3028.467595,3.418278444,2.67E-06
3030.30303,3.418276397,2.67E-06
3032.140691,3.418274351,2.67E-06
3033.980583,3.418272307,2.67E-06
3035.822708,3.418270264,2.67E-06
3037.667072,3.418268223,2.67E-06
3039.513678,3.418266182,2.67E-06
3041.36253,3.418264143,2.67E-06
3043.213634,3.418262105,2.67E-06
3045.066991,3.418260069,2.67E-06
3046.922608,3.418258034,2.67E-06
3048.780488,3.418256,2.67E-06
3050.640635,3.418253967,2.67E-06
3052.503053,3.418251936,2.67E-06
3054.367746,3.418249905,2.67E-06
3056.234719,3.418247877,2.67E-06
3058.103976,3.418245849,2.67E-06
3059.97552,3.418243823,2.67E-06
3061.849357,3.418241798,2.67E-06
3063.72549,3.418239774,2.67E-06
3065.603924,3.418237752,2.67E-06
3067.484663,3.41823573,2.67E-06
3069.36771,3.418233711,2.67E-06
3071.253071,3.418231692,2.67E-06
3073.14075,3.418229675,2.67E-06
3075.03075,3.418227659,2.67E-06
3076.923077,3.418225644,2.67E-06
3078.817734,3.41822363,2.67E-06
3080.714726,3.418221618,2.67E-06
3082.614057,3.418219607,2.67E-06
3084.515731,3.418217598,2.67E-06
3086.419753,3.418215589,2.67E-06
3088.326127,3.418213582,2.67E-06
3090.234858,3.418211576,2.67E-06
3092.145949,3.418209572,2.67E-06
3094.059406,3.418207569,2.67E-06
3095.975232,3.418205567,2.67E-06
3097.893432,3.418203566,2.67E-06
3099.814011,3.418201567,2.67E-06
3101.736973,3.418199568,2.67E-06
3103.662322,3.418197572,2.67E-06
3105.590062,3.418195576,2.67E-06
3107.520199,3.418193582,2.67E-06
3109.452736,3.418191589,2.67E-06
3111.387679,3.418189597,2.67E-06
3113.325031,3.418187607,2.67E-06
3115.264798,3.418185617,2.67E-06
3117.206983,3.418183629,2.67E-06
3119.151591,3.418181643,2.67E-06
3121.098627,3.418179657,2.67E-06
3123.048095,3.418177673,2.67E-06
3125,3.418175691,2.67E-06
3126.954346,3.418173709,2.67E-06
3128.911139,3.418171729,2.67E-06
3130.870382,3.41816975,2.67E-06
3132.83208,3.418167772,2.67E-06
3134.796238,3.418165796,2.67E-06
3136.762861,3.418163821,2.67E-06
3138.731952,3.418161847,2.67E-06
3140.703518,3.418159874,2.67E-06
3142.677561,3.418157903,2.67E-06
3144.654088,3.418155933,2.67E-06
3146.633103,3.418153964,2.67E-06
3148.61461,3.418151997,2.67E-06
3150.598614,3.41815003,2.67E-06
3152.58512,3.418148066,2.67E-06
3154.574132,3.418146102,2.67E-06
3156.565657,3.418144139,2.67E-06
3158.559697,3.418142178,2.67E-06
3160.556258,3.418140219,2.67E-06
3162.555345,3.41813826,2.67E-06
3164.556962,3.418136303,2.67E-06
3166.561115,3.418134347,2.67E-06
3168.567807,3.418132392,2.67E-06
3170.577045,3.418130439,2.67E-06
3172.588832,3.418128486,2.67E-06
3174.603175,3.418126536,2.67E-06
3176.620076,3.418124586,2.67E-06
3178.639542,3.418122638,2.67E-06
3180.661578,3.418120691,2.67E-06
3182.686187,3.418118745,2.67E-06
3184.713376,3.4181168,2.67E-06
3186.743149,3.418114857,2.67E-06
3188.77551,3.418112915,2.67E-06
3190.810466,3.418110974,2.67E-06
3192.84802,3.418109035,2.67E-06
3194.888179,3.418107097,2.67E-06
3196.930946,3.41810516,2.67E-06
3198.976328,3.418103224,2.67E-06
3201.024328,3.41810129,2.67E-06
3203.074952,3.418099357,2.67E-06
3205.128205,3.418097425,2.67E-06
3207.184092,3.418095495,2.67E-06
3209.242619,3.418093565,2.67E-06
3211.303789,3.418091637,2.67E-06
3213.367609,3.418089711,2.67E-06
3215.434084,3.418087785,2.67E-06
3217.503218,3.418085861,2.67E-06
3219.575016,3.418083938,2.67E-06
3221.649485,3.418082017,2.67E-06
3223.726628,3.418080096,2.67E-06
3225.806452,3.418078177,2.67E-06
3227.888961,3.41807626,2.67E-06
3229.97416,3.418074343,2.67E-06
3232.062056,3.418072428,2.67E-06
3234.152652,3.418070514,2.67E-06
3236.245955,3.418068601,2.67E-06
3238.341969,3.41806669,2.67E-06
3240.4407,3.41806478,2.67E-06
3242.542153,3.418062871,2.67E-06
3244.646334,3.418060963,2.67E-06
3246.753247,3.418059057,2.67E-06
3248.862898,3.418057152,2.67E-06
3250.975293,3.418055248,2.67E-06
3253.090436,3.418053345,2.67E-06
3255.208333,3.418051444,2.67E-06
3257.32899,3.418049544,2.67E-06
3259.452412,3.418047646,2.67E-06
3261.578604,3.418045748,2.67E-06
3263.707572,3.418043852,2.67E-06
3265.839321,3.418041957,2.67E-06
3267.973856,3.418040064,2.67E-06
3270.111184,3.418038171,2.67E-06
3272.251309,3.41803628,2.67E-06
3274.394237,3.41803439,2.67E-06
3276.539974,3.418032502,2.67E-06
3278.688525,3.418030615,2.67E-06
3280.839895,3.418028729,2.67E-06
3282.994091,3.418026844,2.67E-06
3285.151117,3.41802496,2.67E-06
3287.31098,3.418023078,2.67E-06
3289.473684,3.418021197,2.67E-06
3291.639236,3.418019318,2.67E-06
3293.807642,3.418017439,2.67E-06
3295.978906,3.418015562,2.67E-06
3298.153034,3.418013686,2.67E-06
3300.330033,3.418011812,2.67E-06
3302.509908,3.418009939,2.67E-06
3304.692664,3.418008067,2.67E-06
3306.878307,3.418006196,2.67E-06
3309.066843,3.418004326,2.67E-06
3311.258278,3.418002458,2.67E-06
3313.452618,3.418000591,2.67E-06
3315.649867,3.417998725,2.67E-06
3317.850033,3.417996861,2.67E-06
3320.053121,3.417994998,2.67E-06
3322.259136,3.417993136,2.67E-06
3324.468085,3.417991276,2.67E-06
3326.679973,3.417989416,2.67E-06
3328.894807,3.417987558,2.67E-06
3331.112592,3.417985701,2.67E-06
3333.333333,3.417983846,2.67E-06
3335.557038,3.417981992,2.67E-06
3337.783712,3.417980139,2.67E-06
3340.01336,3.417978287,2.67E-06
3342.245989,3.417976436,2.67E-06
3344.481605,3.417974587,2.67E-06
3346.720214,3.417972739,2.67E-06
3348.961822,3.417970893,2.67E-06
3351.206434,3.417969047,2.67E-06
3353.454058,3.417967203,2.67E-06
3355.704698,3.41796536,2.67E-06
3357.958361,3.417963519,2.67E-06
3360.215054,3.417961679,2.67E-06
3362.474781,3.41795984,2.67E-06
3364.73755,3.417958002,2.67E-06
3367.003367,3.417956165,2.67E-06
3369.272237,3.41795433,2.67E-06
3371.544167,3.417952496,2.67E-06
3373.819163,3.417950663,2.67E-06
3376.097232,3.417948832,2.67E-06
3378.378378,3.417947002,2.67E-06
3380.66261,3.417945173,2.67E-06
3382.949932,3.417943345,2.67E-06
3385.240352,3.417941519,2.67E-06
3387.533875,3.417939694,2.67E-06
3389.830508,3.41793787,2.67E-06
3392.130258,3.417936047,2.67E-06
3394.43313,3.417934226,2.67E-06
3396.73913,3.417932406,2.67E-06
3399.048266,3.417930587,2.67E-06
3401.360544,3.41792877,2.67E-06
3403.67597,3.417926954,2.67E-06
3405.99455,3.417925139,2.67E-06
3408.316292,3.417923325,2.67E-06
3410.641201,3.417921513,2.67E-06
3412.969283,3.417919701,2.67E-06
3415.300546,3.417917891,2.67E-06
3417.634997,3.417916083,2.67E-06
3419.97264,3.417914275,2.67E-06
3422.313484,3.417912469,2.67E-06
3424.657534,3.417910665,2.67E-06
3427.004798,3.417908861,2.67E-06
3429.355281,3.417907059,2.67E-06
3431.708991,3.417905258,2.67E-06
3434.065934,3.417903458,2.67E-06
3436.426117,3.417901659,2.67E-06
3438.789546,3.417899862,2.67E-06
3441.156228,3.417898066,2.67E-06
3443.526171,3.417896271,2.67E-06
3445.89938,3.417894478,2.67E-06
3448.275862,3.417892686,2.67E-06
3450.655625,3.417890895,2.67E-06
3453.038674,3.417889105,2.67E-06
3455.425017,3.417887317,2.67E-06
3457.814661,3.41788553,2.67E-06
3460.207612,3.417883744,2.67E-06
3462.603878,3.417881959,2.67E-06
3465.003465,3.417880176,2.67E-06
3467.40638,3.417878394,2.67E-06
3469.81263,3.417876613,2.67E-06
3472.222222,3.417874833,2.67E-06
3474.635163,3.417873055,2.67E-06
3477.05146,3.417871278,2.67E-06
3479.47112,3.417869502,2.67E-06
3481.89415,3.417867728,2.67E-06
3484.320557,3.417865955,2.67E-06
3486.750349,3.417864183,2.67E-06
3489.183531,3.417862412,2.67E-06
3491.620112,3.417860643,2.67E-06
3494.060098,3.417858874,2.67E-06
3496.503497,3.417857108,2.67E-06
3498.950315,3.417855342,2.67E-06
3501.40056,3.417853578,2.67E-06
3503.85424,3.417851814,2.67E-06
3506.31136,3.417850053,2.67E-06
3508.77193,3.417848292,2.67E-06
3511.235955,3.417846533,2.67E-06
3513.703443,3.417844775,2.67E-06
3516.174402,3.417843018,2.67E-06
3518.648839,3.417841262,2.67E-06
3521.126761,3.417839508,2.67E-06
3523.608175,3.417837755,2.67E-06
3526.093089,3.417836003,2.67E-06
3528.58151,3.417834253,2.67E-06
3531.073446,3.417832503,2.67E-06
3533.568905,3.417830756,2.67E-06
3536.067893,3.417829009,2.67E-06
3538.570418,3.417827263,2.67E-06
3541.076487,3.417825519,2.67E-06
3543.586109,3.417823776,2.67E-06
3546.099291,3.417822035,2.67E-06
3548.61604,3.417820294,2.67E-06
3551.136364,3.417818555,2.67E-06
3553.66027,3.417816817,2.67E-06
3556.187767,3.417815081,2.67E-06
3558.718861,3.417813345,2.67E-06
3561.253561,3.417811611,2.67E-06
3563.791875,3.417809878,2.67E-06
3566.333809,3.417808147,2.67E-06
3568.879372,3.417806417,2.67E-06
3571.428571,3.417804687,2.67E-06
3573.981415,3.41780296,2.67E-06
3576.537911,3.417801233,2.67E-06
3579.098067,3.417799508,2.67E-06
3581.661891,3.417797784,2.67E-06
3584.229391,3.417796061,2.67E-06
3586.800574,3.41779434,2.67E-06
3589.375449,3.417792619,2.67E-06
3591.954023,3.417790901,2.67E-06
3594.536305,3.417789183,2.67E-06
3597.122302,3.417787466,2.67E-06
3599.712023,3.417785751,2.67E-06
3602.305476,3.417784037,2.67E-06
3604.902668,3.417782325,2.67E-06
3607.503608,3.417780613,2.67E-06
3610.108303,3.417778903,2.67E-06
3612.716763,3.417777194,2.67E-06
3615.328995,3.417775487,2.67E-06
3617.945007,3.41777378,2.67E-06
3620.564808,3.417772075,2.67E-06
3623.188406,3.417770371,2.67E-06
3625.815809,3.417768669,2.67E-06
3628.447025,3.417766968,2.67E-06
3631.082062,3.417765267,2.67E-06
3633.72093,3.417763569,2.67E-06
3636.363636,3.417761871,2.67E-06
3639.010189,3.417760175,2.67E-06
3641.660597,3.41775848,2.67E-06
3644.314869,3.417756786,2.67E-06
3646.973012,3.417755094,2.67E-06
3649.635036,3.417753402,2.67E-06
3652.30095,3.417751712,2.67E-06
3654.97076,3.417750024,2.67E-06
3657.644477,3.417748336,2.67E-06
3660.322108,3.41774665,2.67E-06
3663.003663,3.417744965,2.67E-06
3665.68915,3.417743281,2.67E-06
3668.378577,3.417741599,2.67E-06
3671.071953,3.417739918,2.67E-06
3673.769287,3.417738238,2.67E-06
3676.470588,3.417736559,2.67E-06
3679.175865,3.417734882,2.67E-06
3681.885125,3.417733206,2.67E-06
3684.598379,3.417731531,2.67E-06
3687.315634,3.417729857,2.67E-06
3690.0369,3.417728185,2.67E-06
3692.762186,3.417726514,2.67E-06
3695.4915,3.417724844,2.67E-06
3698.224852,3.417723175,2.67E-06
3700.96225,3.417721508,2.67E-06
3703.703704,3.417719842,2.67E-06
3706.449222,3.417718177,2.67E-06
3709.198813,3.417716514,2.67E-06
3711.952487,3.417714851,2.67E-06
3714.710253,3.41771319,2.67E-06
3717.472119,3.41771153,2.67E-06
3720.238095,3.417709872,2.67E-06
3723.008191,3.417708215,2.67E-06
3725.782414,3.417706559,2.67E-06
3728.560776,3.417704904,2.67E-06
3731.343284,3.41770325,2.67E-06
3734.129948,3.417701598,2.67E-06
3736.920777,3.417699947,2.67E-06
3739.715782,3.417698297,2.67E-06
3742.51497,3.417696649,2.67E-06
3745.318352,3.417695002,2.67E-06
3748.125937,3.417693356,2.67E-06
3750.937734,3.417691711,2.67E-06
3753.753754,3.417690068,2.67E-06
3756.574005,3.417688425,2.67E-06
3759.398496,3.417686785,2.67E-06
3762.227239,3.417685145,2.67E-06
3765.060241,3.417683506,2.67E-06
3767.897513,3.417681869,2.67E-06
3770.739065,3.417680233,2.67E-06
3773.584906,3.417678599,2.67E-06
3776.435045,3.417676965,2.67E-06
3779.289494,3.417675333,2.67E-06
3782.14826,3.417673702,2.67E-06
3785.011355,3.417672073,2.67E-06
3787.878788,3.417670444,2.67E-06
3790.750569,3.417668817,2.67E-06
3793.626707,3.417667191,2.67E-06
3796.507213,3.417665567,2.67E-06
3799.392097,3.417663944,2.67E-06
3802.281369,3.417662321,2.67E-06
3805.175038,3.417660701,2.67E-06
3808.073115,3.417659081,2.67E-06
3810.97561,3.417657463,2.67E-06
3813.882532,3.417655846,2.67E-06
3816.793893,3.41765423,2.67E-06
3819.709702,3.417652615,2.67E-06
3822.629969,3.417651002,2.67E-06
3825.554705,3.41764939,2.67E-06
3828.48392,3.417647779,2.67E-06
3831.417625,3.41764617,2.67E-06
3834.355828,3.417644561,2.67E-06
3837.298542,3.417642954,2.67E-06
